operation_code,kind,stage,semantic_unit,count_formula,bound_type,alternative,assumption_or_blocker,accounting_role
common.cell_identifier_hash,common,catalogue,sha256_calls,1,exact,all,one_exact_canonical_cell_identifier,standalone_identity
common.catalogue_serializations,common,catalogue,record_serializations,1,exact,all,one_catalogue_record_per_candidate,standalone_serialization
common.catalogue_bytes,common,catalogue,bytes,42+L_i,exact,all,fixed_header_plus_exact_canonical_JSON,standalone_storage
common.static_lock_serializations,common,static_identity,record_serializations,1,exact,all,one_cell_static_lock_per_candidate,standalone_serialization
common.static_lock_bytes,common,static_identity,bytes,112,exact,all,TB0010_fixed_cell_lock,standalone_storage
common.identifier_dictionary_serializations,common,static_identity,record_serializations,unresolved,unresolved,owner_choice,identifier_dictionary_partition_and_deduplication_policy_not_frozen,standalone_serialization_blocker
common.permutation_dictionary_serializations,common,static_identity,record_serializations,unresolved,unresolved,owner_choice,abstract_item_assignment_and_repeat_domains_not_frozen,standalone_serialization_blocker
common.static_extension_serializations,common,static_output,record_serializations,1,exact,all,one_typed_static_extension_per_candidate,standalone_serialization
common.static_extension_bytes,common,static_output,bytes,unresolved,unresolved,owner_choice,truth_calibration_trace_and_failure_fields_not_frozen,standalone_storage_blocker
common.permutation_hmac_calls,common,static_identity,hmac_calls,unresolved,unresolved,owner_choice,abstract_item_assignment_and_repeat_domains_not_frozen,standalone_identity_blocker
common.permutation_payload_digest_calls,common,static_identity,sha256_calls,I_assignment*1,conditional_exact,all,I_assignment=1_after_the_cell_assignment_and_permutation_payload_is_frozen,shared_digest_for_static_lock_and_assignment_digest_aliases_do_not_double_count
common.permutation_dictionary_bytes,common,static_identity,bytes,unresolved,unresolved,owner_choice,identifier_and_permutation_payload_not_frozen,standalone_storage_blocker
common.chunk_payload_digest_calls,common,checkpoint,sha256_calls,unresolved,unresolved,chunk_policy,one_digest_per_committed_chunk_but_chunk_count_not_frozen,standalone_identity_blocker
common.chunk_journal_bytes,common,checkpoint,bytes,52*N_chunk_journal_records,unresolved,chunk_policy,one_exact_52_byte_logical_journal_record_per_realized_chunk_journal_entry_but_occurrence_and_file_framing_are_not_frozen,standalone_persistent_audit_storage_blocker
